timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront
17402, 0.05961969122290611, 0.12171600759029388, 0.002982113044708967, 0.0035549576859921217, 0.00048620111192576587, -0.0018441012362018228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17422, 0.05892457067966461, 0.12196145951747894, 0.002577448496595025, -0.0004970951122231781, 0.0016133394092321396, -0.0036604851484298706, 122733.1484375, 156235.078125, 92731.4140625, 124449.625, 140615.375, 103815.90625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04418686032295227, 0.0
17442, 0.05894244462251663, 0.12127760797739029, 0.0025352309457957745, -0.00038326578214764595, -0.0024604499340057373, -0.0032193076331168413, 122727.890625, 156231.25, 92728.2734375, 124448.046875, 140617.65625, 103823.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04397973045706749, 0.0
17462, 0.06048706918954849, 0.12104962766170502, 0.0030962200835347176, 0.008195079863071442, -0.003529503010213375, 0.0005855513154529035, 122733.1484375, 156229.328125, 92733.015625, 124443.625, 140621.171875, 103820.640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.044312093406915665, 0.0
17482, 0.059625763446092606, 0.12101905047893524, 0.003118243534117937, 0.003228274406865239, -0.0033727094996720552, 0.0008466223371215165, 122733.828125, 156231.25, 92727.1015625, 124451.8359375, 140617.140625, 103820.640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04730832204222679, 0.0
17502, 0.060535892844200134, 0.12103565782308578, 0.0031047528609633446, 0.008550038561224937, -0.003171689808368683, 0.000927731569390744, 122735.359375, 156229.328125, 92731.046875, 124448.9921875, 140612.078125, 103820.8046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04842059686779976, 0.0
17522, 0.060512375086545944, 0.12172037363052368, 0.003149371361359954, 0.008459748700261116, 0.0006205511745065451, 0.0010324844624847174, 122725.0078125, 156235.078125, 92730.2421875, 124439.828125, 140616.625, 103823.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04969434440135956, 0.0
17542, 0.059613488614559174, 0.12128417938947678, 0.0031835888512432575, 0.0034736464731395245, -0.0017131122294813395, 0.0013379844604060054, 122731.625, 156231.25, 92725.125, 124446.78125, 140617.140625, 103828.3515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05042709410190582, 0.0
17562, 0.060466401278972626, 0.12150079756975174, 0.0031610331498086452, 0.008521847426891327, -0.0006306880968622863, 0.0014223088510334492, 122736.8828125, 156231.25, 92725.125, 124445.203125, 140612.59375, 103817.984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05026873201131821, 0.0
17582, 0.05871160700917244, 0.12194150686264038, 0.0032105883583426476, -0.0013036885065957904, 0.002105002524331212, 0.0014397527556866407, 122733.1484375, 156231.25, 92728.2734375, 124445.8359375, 140615.375, 103829.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05043906718492508, 0.0
