timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront, Position X, Position Y, Position Z, yaw
19626, 0.0031562175136059523, -0.0001568812585901469, 0.021729374304413795, 0.006000807974487543, 0.0027590489480644464, -0.003877718932926655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.038604974746704, 0.015537974424660206, -0.5120362043380737, -0.002988365163914245
19646, 0.0032785150688141584, -0.00010217571252724156, 0.021784519776701927, 0.006493655499070883, 0.0029034106992185116, -0.002987909596413374, 130433.1640625, 156296.34375, 91664.9921875, 119425.8359375, 141671.09375, 102623.3203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022866479121148586, 178.0, -1.0385582447052002, 0.015511051751673222, -0.5120638608932495, -0.005629278513569158
19666, 0.0027225797530263662, -0.00011361468932591379, 0.021724214777350426, 0.0047740270383656025, 0.0028963719960302114, -0.002888748189434409, 130431.5390625, 156292.5, 91664.6328125, 119421.46875, 141672.09375, 102624.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027350038290023804, 178.0, -1.0385266542434692, 0.015635505318641663, -0.5119125247001648, -0.0021896257226502926
19686, 0.0031947572715580463, -0.00013218949607107788, 0.02260187454521656, 0.0066717276349663734, 0.0025056491140276194, 0.00212543155066669, 130433.1640625, 156290.59375, 91663.8359375, 119423.6484375, 141672.09375, 102631.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003529287874698639, 178.0, -1.0385785102844238, 0.015657171607017517, -0.5119920372962952, -0.004135494324914874
19706, 0.0030181955080479383, -0.0006769002648070455, 0.0226458590477705, 0.005883733741939068, 0.00041561006219126284, 0.0021096745040267706, 130423.8203125, 156294.421875, 91661.515625, 119424.984375, 141669.8125, 102637.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004579056054353714, 173.0, -1.0385693311691284, 0.01563951000571251, -0.5119674205780029, -0.0036379229611825884
19726, 0.002859538421034813, -0.0006928676157258451, 0.02321803756058216, 0.00530237378552556, 0.0002634580887388438, 0.004930946044623852, 130431.5390625, 156292.5, 91659.5546875, 119427.359375, 141672.09375, 102622.7578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004770616535097361, 173.0, -1.0384825468063354, 0.01562427170574665, -0.511852502822876, -0.0009726627283443826
19746, 0.002971089445054531, -0.0006867606425657868, 0.023315653204917908, 0.005915547721087933, 0.00037882651668041945, 0.004782349336892366, 130436.3984375, 156296.34375, 91665.4375, 119428.6875, 141676.640625, 102622.7578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003323903074488044, 173.0, -1.038590908050537, 0.015576845034956932, -0.51197749376297, -0.005675640872293165
19766, 0.0025091611314564943, -0.0006943222251720726, 0.022449113428592682, 0.003991683479398489, 0.0005696130101568997, -0.0006522592157125473, 130433.78125, 156296.34375, 91664.2734375, 119424.3203125, 141667.546875, 102630.828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004516760818660259, 178.0, -1.0386744737625122, 0.01545181404799223, -0.5119641423225403, 0.0049254025860590725
19786, 0.0024537357967346907, -0.0006645165267400444, 0.02243538573384285, 0.004105773288756609, 0.0009263221872970462, -0.0008319034823216498, 130437.6484375, 156292.5, 91664.6328125, 119425.171875, 141673.859375, 102631.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001957150874659419, 178.0, -1.0385879278182983, 0.0155305415391922, -0.5120775699615479, -0.005209275508726091
19806, 0.0024925966281443834, -0.0002504809817764908, 0.022256920114159584, 0.004387897439301014, 0.0027828963939100504, -0.0016701167915016413, 130433.1640625, 156296.34375, 91666.59375, 119426.5, 141669.3125, 102630.828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00300466176122427, 173.0, -1.0384970903396606, 0.01562756858766079, -0.511915922164917, 0.0006339778285829812
19826, 0.0029094256460666656, -0.0010556444758549333, 0.022228773683309555, 0.005905809812247753, -0.00027961705927737057, -0.0014812586596235633, 130428.6796875, 156294.421875, 91670.515625, 119431.0625, 141668.046875, 102634.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0039006718434393406, 173.0, -1.0386390686035156, 0.015497899614274502, -0.5120155811309814, -0.0034889346282365044
19846, 0.002485313219949603, -0.0006153854774311185, 0.022200003266334534, 0.004018302541226149, 0.0016755496617406607, -0.0014506328152492642, 130429.921875, 156292.5, 91667.3984375, 119428.0234375, 141674.859375, 102628.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00047343477490358055, 173.0, -1.0386141538619995, 0.015633950009942055, -0.511934220790863, -0.0014237492324808106
19866, 0.0024368134327232838, -0.0006732555339112878, 0.021665560081601143, 0.0035416160244494677, 0.0019387780921533704, -0.004139147233217955, 130435.40625, 156294.421875, 91663.4765625, 119430.875, 141673.09375, 102633.640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033743083477020264, 178.0, -1.038546085357666, 0.015488308854401112, -0.5119946002960205, 0.0046601988736620255
19886, 0.002735957968980074, -0.0006991708069108427, 0.021577810868620872, 0.0051870159804821014, 0.0023295606952160597, -0.004494392778724432, 130430.921875, 156292.5, 91663.8359375, 119423.6484375, 141669.8125, 102626.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014660621527582407, 178.0, -1.0386583805084229, 0.015361867845058441, -0.5120440125465393, 0.0008491369485943156
19906, 0.0028388523496687412, -0.0006486185011453927, 0.02168275974690914, 0.005460165906697512, 0.002951193368062377, -0.0034138953778892756, 130427.6796875, 156294.421875, 91672.84375, 119423.6484375, 141666.265625, 102633.640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0028399541042745113, 178.0, -1.0385849475860596, 0.015699705109000206, -0.5119895935058594, -0.000553463472492341
19926, 0.0028390137013047934, -0.0010123305255547166, 0.02161700464785099, 0.0053160651586949825, 0.0017910414608195424, -0.003188271075487137, 130440.8828125, 156294.421875, 91662.671875, 119427.359375, 141668.046875, 102631.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027257665060460567, 171.0, -1.0385791063308716, 0.0153746223077178, -0.5121674537658691, -0.0027144094584167122
19946, 0.002854600315913558, -0.0006287341821007431, 0.021317536011338234, 0.005382842849940062, 0.003667716169729829, -0.004398819524794817, 130430.921875, 156292.5, 91664.6328125, 119435.4296875, 141674.359375, 102628.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011594787938520312, 171.0, -1.0384800434112549, 0.015495463274419308, -0.5120242238044739, 0.0033621962742030665
19966, 0.0024489553179591894, -0.0006913872202858329, 0.021230341866612434, 0.003776396391913295, 0.0033159104641526937, -0.004556008614599705, 130432.5390625, 156296.34375, 91666.59375, 119428.0234375, 141668.546875, 102622.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0021885321475565434, 171.0, -1.0385549068450928, 0.015478485263884068, -0.5120916366577148, -0.0037390667670822077
