timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront, Position X, Position Y, Position Z, yaw
23824, -0.0019758795388042927, 0.0060742818750441074, 0.015319574624300003, 0.006507681217044592, 0.000951801601331681, 0.0031985200475901365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.39065924286842346, 0.013827300630509853, -0.5310742855072021, -0.026543322307630707
23844, -0.00208994559943676, 0.006302252411842346, 0.015388194471597672, 0.0059051718562841415, 0.001941364724189043, 0.0029205535538494587, 134651.796875, 155956.484375, 91797.28125, 124454.875, 143191.015625, 104693.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12877053022384644, 279.0, -0.3906599283218384, 0.013887246139347553, -0.5310714840888977, -0.0263391377673507
23864, 0.0009525149362161756, 0.0008628892246633768, 0.015241781249642372, 0.020759329199790955, -0.025045229122042656, 0.0017005613772198558, 134657.375, 155954.578125, 91797.6328125, 124461.5078125, 143196.546875, 104693.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12776842713356018, 279.0, -0.3896014988422394, 0.0048235272988677025, -0.5306625962257385, -3.090282939532046
23884, 0.0009017967968247831, 0.0025495528243482113, 0.015356003306806087, 0.01937032863497734, -0.014235636219382286, 0.002078446326777339, 134646.6875, 155956.484375, 91795.3203125, 124459.296875, 143192.0, 104692.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1281134933233261, 279.0, -0.3895947337150574, 0.004961239639669657, -0.5307355523109436, -3.090324016073002
23904, 0.000863405701238662, 0.002803758019581437, 0.015262345783412457, 0.018111519515514374, -0.011720403097569942, 0.0012651797151193023, 134652.859375, 155956.484375, 91806.625, 124459.296875, 143202.890625, 104693.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12815651297569275, 278.0, -0.3906356990337372, 0.013871566392481327, -0.5310875177383423, -0.027148786356529925
23924, 0.00014883749827276915, 0.0025905370712280273, 0.0153157664462924, 0.013728535734117031, -0.011398062109947205, 0.0015910861548036337, 134648.34375, 155954.578125, 91800.3984375, 124465.2890625, 143198.328125, 104691.9296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12749971449375153, 278.0, -0.39062777161598206, 0.013882838189601898, -0.5310964584350586, -0.02664699132208431
23944, 0.00034095405135303736, 0.0021712363231927156, 0.015350311063230038, 0.013825650326907635, -0.012249684892594814, 0.0017576293321326375, 134650.609375, 155954.578125, 91799.2421875, 124461.5078125, 143190.203125, 104695.9296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12570752203464508, 278.0, -0.3906465768814087, 0.01383335329592228, -0.5310763120651245, -0.025964130171470264
23964, 0.000504487834405154, 0.0018593415152281523, 0.013958437368273735, 0.014219350181519985, -0.01247347705066204, -0.005784358363598585, 134652.859375, 155958.390625, 91804.3203125, 124463.7109375, 143201.09375, 104695.9296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12709270417690277, 279.0, -0.3895791172981262, 0.004937156569212675, -0.5307454466819763, -3.0882688946383903
23984, 0.00024835343356244266, 0.0028067955281585455, 0.013866549357771873, 0.012226413004100323, -0.005956775974482298, -0.005539557430893183, 134645.03125, 155956.484375, 91799.2421875, 124462.78125, 143196.546875, 104696.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12464918196201324, 279.0, -0.3893895745277405, 0.005150154698640108, -0.5310641527175903, -3.0941218553121033
24004, -0.00023311760742217302, 0.0014769210247322917, 0.013834947720170021, 0.009284327737987041, -0.011541794054210186, -0.005022759083658457, 134650.609375, 155958.390625, 91802.359375, 124459.296875, 143196.0625, 104692.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12312600016593933, 277.0, -0.39061006903648376, 0.013877401128411293, -0.5310830473899841, -0.0236955616525853
24024, 0.0004020221240352839, 0.0010071691358461976, 0.01373378001153469, 0.012084642425179482, -0.012551459483802319, -0.00510285934433341, 134642.78125, 155960.296875, 91804.3203125, 124460.8671875, 143193.78125, 104697.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12968361377716064, 277.0, -0.3905179500579834, 0.013984444551169872, -0.5313023924827576, -0.031591833484732136
24044, -0.0002748667320702225, 0.0014487290754914284, 0.01420147530734539, 0.007961010560393333, -0.008952029049396515, -0.0024123587645590305, 134650.609375, 155954.578125, 91804.3203125, 124466.5625, 143196.0625, 104694.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12837906181812286, 277.0, -0.3907075822353363, 0.014048479497432709, -0.5310169458389282, -0.0317550596925453
24064, 0.0003774907672777772, 0.0027819769456982613, 0.014161921106278896, 0.011073252186179161, -0.0009673034073784947, -0.002443495439365506, 134652.859375, 155958.390625, 91800.3984375, 124457.0859375, 143190.703125, 104687.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12685532867908478, 278.0, -0.38968226313591003, 0.004907921887934208, -0.5306289792060852, -3.0901754669041495
24084, 0.00025195471243932843, 0.000974610389675945, 0.014074490405619144, 0.009900194592773914, -0.00982954353094101, -0.0033691702410578728, 134654.515625, 155956.484375, 91808.2421875, 124454.875, 143201.90625, 104698.7578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12855984270572662, 278.0, -0.3897245526313782, 0.004958282224833965, -0.5306891798973083, -3.091877658789419
24104, 0.0006939792074263096, 0.0027691160794347525, 0.014020861126482487, 0.011352477595210075, 0.0004814011917915195, -0.003783909371122718, 134652.859375, 155958.390625, 91803.515625, 124465.2890625, 143198.828125, 104692.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12792745232582092, 278.0, -0.39061224460601807, 0.013944289647042751, -0.5311957001686096, -0.022579640766305205
24124, -0.00021772697800770402, 0.0016585811972618103, 0.014344866387546062, 0.00591916311532259, -0.005046762991696596, -0.0019986226689070463, 134648.953125, 155956.484375, 91802.359375, 124464.0078125, 143187.9375, 104700.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12694604694843292, 278.0, -0.39076361060142517, 0.013911033980548382, -0.5311355590820312, -0.029201626661406223
24144, 0.00042694335570558906, 0.001667692675255239, 0.014308293350040913, 0.009300321340560913, -0.0036518611013889313, -0.002088666195049882, 134648.34375, 155960.296875, 91802.359375, 124458.65625, 143193.28125, 104694.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12652049958705902, 278.0, -0.39055854082107544, 0.013942848891019821, -0.5312103629112244, -0.026571972855332828
24164, -0.00022562149388249964, 0.0016699460102245212, 0.014271557331085205, 0.005071443971246481, -0.002790068509057164, -0.0024376395158469677, 134657.375, 155958.390625, 91798.7890625, 124466.859375, 143192.0, 104694.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12910079956054688, 278.0, -0.38959768414497375, 0.0050315894186496735, -0.530653715133667, -3.091167228657867
24184, 0.0004751704109366983, 0.0016430451069027185, 0.014953240752220154, 0.008893570862710476, -0.0019386913627386093, 0.001087096519768238, 134650.609375, 155958.390625, 91805.4765625, 124457.0859375, 143190.703125, 104698.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1304786503314972, 279.0, -0.38949650526046753, 0.0047858101315796375, -0.5307685136795044, -3.0877399135827113
24204, -0.0002033726341323927, 0.0020934157073497772, 0.014976774342358112, 0.00439921161159873, 0.0014407489215955138, 0.0010194220812991261, 134656.78125, 155954.578125, 91805.4765625, 124461.5078125, 143196.546875, 104693.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12811444699764252, 279.0, -0.39069661498069763, 0.013932044617831707, -0.5310452580451965, -0.02745357192919547
24224, -0.00019258396059740335, 0.0018918582936748862, 0.014600582420825958, 0.004300815984606743, 0.0005336052854545414, -0.0010640780674293637, 134654.515625, 155956.484375, 91808.5859375, 124457.7265625, 143194.265625, 104696.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.127516970038414, 279.0, -0.3905918002128601, 0.013915603049099445, -0.5311604142189026, -0.0253050707486791
24244, 0.00024241617938969284, 0.002742704702541232, 0.01457844115793705, 0.006606105715036392, 0.005676737986505032, -0.0010722477454692125, 134652.859375, 155958.390625, 91810.1953125, 124461.5078125, 143195.5625, 104693.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12745606899261475, 279.0, -0.39056655764579773, 0.013981720432639122, -0.5310677289962769, -0.026126721828957335
24264, -0.0001483107334934175, 0.0008243460906669497, 0.012745474465191364, 0.0038708806969225407, -0.0043357424437999725, -0.010980588383972645, 134653.453125, 155958.390625, 91816.4296875, 124461.5078125, 143196.546875, 104696.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12471264600753784, 279.0, -0.3895324468612671, 0.004892777651548386, -0.5308205485343933, -3.091499167219865
24284, 0.0004857609746977687, 0.001020709634758532, 0.012569384649395943, 0.007211236748844385, -0.0026942670810967684, -0.010524696670472622, 134653.453125, 155956.484375, 91808.2421875, 124461.5078125, 143202.390625, 104694.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1252717226743698, 279.0, -0.38966143131256104, 0.005093141458928585, -0.5308499932289124, -3.0902949578780565
24304, 0.000559248321224004, 0.001691193669103086, 0.012368309311568737, 0.007165295537561178, 0.0018422836437821388, -0.009941976517438889, 134650.015625, 155956.484375, 91803.515625, 124460.8671875, 143196.0625, 104695.9296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12466616928577423, 279.0, -0.3905072808265686, 0.013883408159017563, -0.5311156511306763, -0.026927693289917537
