timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
10696, 0.00038985273567959666, 0.00027135462732985616, 0.011557268910109997, 0.0015371688641607761, 0.001393354614265263, 0.004024950787425041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10716, 0.00036166069912724197, 0.00026507637812756, 0.011786501854658127, 0.0017484796699136496, 0.0013075441820546985, 0.0046804314479231834, 124455.2421875, 157083.953125, 96058.8046875, 107391.0, 138531.5625, 96792.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18951207399368286, 217.0, 0, 0, 0, 0, 0, 0
10736, 0.0006741828401573002, 0.00027312111342325807, 0.011882202699780464, 0.003234758274629712, 0.0015393549110740423, 0.004819618538022041, 124459.03125, 157080.0625, 96061.6015625, 107403.6484375, 138533.84375, 96803.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18918491899967194, 219.0, 0.0, 0.0, 0, 0, 0, 0
10756, 0.0003875117690768093, 0.0002848224830813706, 0.01198815368115902, 0.0016356108244508505, 0.0015522558242082596, 0.004962766543030739, 124473.9296875, 157085.90625, 96068.8671875, 107406.4765625, 138550.03125, 96806.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19068066775798798, 219.0, 0.0, 0.0, 0, 0, 0, 0
10776, 0.0007104793330654502, 0.0002958626428153366, 0.012087889015674591, 0.003429712262004614, 0.0015941117890179157, 0.00500836968421936, 124481.25, 157083.953125, 96072.4375, 107411.4140625, 138545.234375, 96815.46875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19060732424259186, 218.0, 0.0, 0.0, 0, 0, 0, 0
10796, 0.0003851097426377237, -7.60644343245076e-06, 0.011741395108401775, 0.0016113221645355225, 5.47231211385224e-05, 0.0028253383934497833, 124490.140625, 157083.953125, 96082.1796875, 107414.921875, 138550.53125, 96818.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19133244454860687, 218.0, 0.0, 0.0, 0, 0, 0, 0
10816, 0.0006470463704317808, -1.5665922546759248e-05, 0.011796596460044384, 0.003010885789990425, -0.00013528423733077943, 0.0025990395806729794, 124500.59375, 157082.015625, 96083.7421875, 107419.859375, 138560.671875, 96819.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.189988374710083, 218.0, 0.0, 0.0, 0, 0, 0, 0
10836, 0.0006694042240269482, 0.00027239281916990876, 0.011848543770611286, 0.002901756903156638, 0.0017835897160694003, 0.0023066841531544924, 124504.390625, 157083.953125, 96082.9609375, 107434.6484375, 138557.890625, 96827.5703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19279907643795013, 218.0, 0.0, 0.0, 0, 0, 0, 0
10856, 0.00039424849092029035, 0.0002807730052154511, 0.011524348519742489, 0.001665793708525598, 0.0023595443926751614, 0.00023549346951767802, 124510.1328125, 157085.90625, 96086.984375, 107435.3359375, 138560.15625, 96832.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1862887740135193, 218.0, 0.0, 0.0, 0, 0, 0, 0
10876, 0.00040952384006232023, 0.000608821224886924, 0.01152746006846428, 0.0017514396458864212, 0.004302114713937044, 7.053095032460988e-05, 124516.1484375, 157085.90625, 96093.484375, 107440.2734375, 138566.484375, 96824.2890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18578284978866577, 218.0, 0.0, 0.0, 0, 0, 0, 0
10896, 0.00044972807518206537, 0.0007012560963630676, 0.011310926638543606, 0.0017338319448754191, 0.004818594548851252, -0.0013154138578101993, 124522.1640625, 157085.90625, 96100.296875, 107443.1015625, 138566.484375, 96832.875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1942676156759262, 217.0, 0.0, 0.0, 0, 0, 0, 0
10916, 0.0008028046577237546, 0.0007153604528866708, 0.011283482424914837, 0.003440784988924861, 0.005563856568187475, -0.001568532083183527, 124527.5234375, 157085.90625, 96101.53125, 107445.8984375, 138571.5625, 96837.6640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18655073642730713, 217.0, 0.0, 0.0, 0, 0, 0, 0
10936, 0.00041918715578503907, 0.0003452524251770228, 0.011142072267830372, 0.0016277834074571729, 0.003870028769597411, -0.00261267670430243, 124528.828125, 157087.84375, 96096.2734375, 107445.8984375, 138576.109375, 96849.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18488933145999908, 217.0, 0.0, 0.0, 0, 0, 0, 0
10956, 0.0007001954945735633, 2.141665572708007e-05, 0.01108226552605629, 0.0028047191444784403, 0.0014298544265329838, -0.0033618572633713484, 124533.2734375, 157083.953125, 96103.09375, 107452.2421875, 138569.796875, 96850.28125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18520517647266388, 218.0, 0.0, 0.0, 0, 0, 0, 0
10976, 0.00038383129867725074, 1.6014311768230982e-05, 0.011811965145170689, 0.0007183272391557693, 0.00021354366617742926, 0.0008780709467828274, 124543.734375, 157085.90625, 96103.09375, 107452.2421875, 138572.0625, 96851.546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18414650857448578, 218.0, 0.0, 0.0, 0, 0, 0, 0
10996, 0.0009760493994690478, 0.0002964942832477391, 0.011831233277916908, 0.0037688014563173056, 0.0009159701876342297, 0.0010472930734977126, 124539.2890625, 157089.796875, 96108.3515625, 107454.3515625, 138582.4375, 96844.2265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18686063587665558, 218.0, 0.0, 0.0, 0, 0, 0, 0
11016, 0.0007031343411654234, 0.0003085794160142541, 0.011137611232697964, 0.001686491770669818, 0.000676209747325629, -0.0026803973596543074, 124551.0546875, 157087.84375, 96109.1328125, 107460.6875, 138591.046875, 96859.109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18690179288387299, 217.0, 0.0, 0.0, 0, 0, 0, 0
11036, 0.00039259582990780473, 0.0003347070887684822, 0.011080500669777393, 0.0002903575077652931, 0.0005114643136039376, -0.0029249023646116257, 124557.71875, 157089.796875, 96114.390625, 107471.9453125, 138589.28125, 96855.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18467600643634796, 217.0, 0.0, 0.0, 0, 0, 0, 0
11056, 0.0006916167913004756, 0.00034984180820174515, 0.011015687137842178, 0.002249279757961631, 0.0009728908771649003, -0.003372127888724208, 124562.1640625, 157085.90625, 96113.609375, 107471.2578125, 138582.4375, 96864.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18599390983581543, 217.0, 0.0, 0.0, 0, 0, 0, 0
11076, 0.00037926711956970394, 0.00037478102603927255, 0.010530047118663788, 0.001030425657518208, 0.002153090899810195, -0.0053580706007778645, 124564.3828125, 157091.734375, 96126.1484375, 107483.9140625, 138589.28125, 96863.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18669527769088745, 217.0, 0.0, 0.0, 0, 0, 0, 0
11096, 0.0006950051756575704, 0.0003698689688462764, 0.010423355735838413, 0.0032112488988786936, 0.002788154175505042, -0.005188826937228441, 124565.953125, 157087.84375, 96118.09375, 107486.0234375, 138581.1875, 96861.8828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18592019379138947, 217.0, 0.0, 0.0, 0, 0, 0, 0
11116, 0.0007577914511784911, 0.00042732726433314383, 0.010597888380289078, 0.0035045763943344355, 0.0032085750717669725, -0.0035205199383199215, 124577.71875, 157089.796875, 96122.4453125, 107481.8203125, 138591.5625, 96870.46875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.186420276761055, 219.0, 0.0, 0.0, 0, 0, 0, 0
11136, 0.000827711308375001, 0.0004905311507172883, 0.010532562620937824, 0.003437737235799432, 0.0033811465837061405, -0.0030493566300719976, 124583.0859375, 157091.734375, 96127.703125, 107493.7890625, 138591.5625, 96873.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18785656988620758, 219.0, 0.0, 0.0, 0, 0, 0, 0
11156, 0.00041370882536284626, 0.0005237777368165553, 0.010292747989296913, 0.0010948177659884095, 0.0034278284292668104, -0.003657792927697301, 124577.0703125, 157089.796875, 96129.71875, 107490.9609375, 138593.84375, 96872.7265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18758060038089752, 219.0, 0.0, 0.0, 0, 0, 0, 0
