timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
11447, 0.0019422413315623999, 0.0008785375976003706, -2.1912474039709195e-05, 0.008464369922876358, 0.0020086162257939577, -0.0010030813282355666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11467, 0.002127957995980978, 0.0009191463468596339, -4.46489684691187e-05, 0.00920633040368557, 0.0019023449858650565, -0.001175058539956808, 126149.25, 156511.328125, 88368.7890625, 114801.8671875, 140925.46875, 99435.625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059695515781641006, 225.0, 0.0, 0.0, 0, 0, 0, 0
11487, 0.0023189219646155834, 0.0009599507320672274, -4.697370241046883e-05, 0.010006082244217396, 0.0021802166011184454, -0.001278333249501884, 126153.046875, 156511.328125, 88369.90625, 114798.2421875, 140926.75, 99439.703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05874907597899437, 225.0, 0.0, 0.0, 0, 0, 0, 0
11507, 0.0025263670831918716, 0.0010049004340544343, -7.167225703597069e-05, 0.010692937299609184, 0.0023146693129092455, -0.0011284163920208812, 126153.6953125, 156513.265625, 88367.6640625, 114803.25, 140923.203125, 99440.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058021992444992065, 227.0, 0.0, 0.0, 0, 0, 0, 0
11527, 0.0027441545389592648, 0.0010542256059125066, -5.9169418818783015e-05, 0.011200686916708946, 0.0026087011210620403, -0.0008618146530352533, 126164.171875, 156511.328125, 88375.6875, 114809.8203125, 140923.203125, 99439.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058709047734737396, 227.0, 0.0, 0.0, 0, 0, 0, 0
11547, 0.0029060763772577047, 0.0009546829387545586, -7.506086694775149e-05, 0.011548252776265144, 0.0021450927015393972, -0.0008764538797549903, 126159.7265625, 156515.1875, 88374.5625, 114806.1875, 140927.75, 99445.2890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05922620743513107, 227.0, 0.0, 0.0, 0, 0, 0, 0
11567, 0.00227033207193017, 0.0009437840199097991, -5.653427433571778e-05, 0.008500974625349045, 0.002388965105637908, -0.0005942279240116477, 126166.3984375, 156509.40625, 88377.609375, 114811.1953125, 140923.203125, 99446.5703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057818882167339325, 226.0, 0.0, 0.0, 0, 0, 0, 0
11587, 0.002780161565169692, 0.0009353788918815553, -6.930712697794661e-05, 0.010665549896657467, 0.0024368413724005222, -0.0007687474717386067, 126165.75, 156513.265625, 88383.3828125, 114815.5078125, 140927.25, 99446.5703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0581204853951931, 226.0, 0.0, 0.0, 0, 0, 0, 0
11607, 0.002225785283371806, 0.0008887269650585949, -8.05903910077177e-05, 0.008431621827185154, 0.002189766149967909, -0.0006027010967954993, 126167.96875, 156513.265625, 88375.3671875, 114815.5078125, 140923.203125, 99444.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05723925679922104, 226.0, 0.0, 0.0, 0, 0, 0, 0
11627, 0.002707680221647024, 0.0008717956952750683, -5.718905958929099e-05, 0.01042287889868021, 0.002141797449439764, -0.0003731928882189095, 126170.1953125, 156513.265625, 88379.53125, 114816.2890625, 140925.46875, 99442.4921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05727914348244667, 227.0, 0.0, 0.0, 0, 0, 0, 0
11647, 0.002922262065112591, 0.0009175753802992404, -6.570157711394131e-05, 0.011021140962839127, 0.0023962906561791897, -0.00041363280615769327, 126172.421875, 156515.1875, 88386.109375, 114809.71875, 140924.96875, 99451.3984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05435977131128311, 227.0, 0.0, 0.0, 0, 0, 0, 0
11667, 0.0026179617270827293, 0.0009019321296364069, -4.419991091708653e-05, 0.009481767192482948, 0.0023842528462409973, -0.00032088649459183216, 126179.09375, 156513.265625, 88387.234375, 114819.140625, 140934.578125, 99449.8828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05570442974567413, 227.0, 0.0, 0.0, 0, 0, 0, 0
11687, 0.0028142675291746855, 0.0009533087722957134, -5.178265200811438e-05, 0.010185114108026028, 0.0029453332535922527, -0.0004853611462749541, 126181.96875, 156513.265625, 88380.3359375, 114819.140625, 140932.296875, 99453.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04826850816607475, 224.0, 0.0, 0.0, 0, 0, 0, 0
11707, 0.002251019701361656, 0.0009309624438174069, -3.375241794856265e-05, 0.007809653412550688, 0.002897747792303562, -0.0002095834497595206, 126179.75, 156511.328125, 88389.15625, 114813.3515625, 140936.359375, 99454.71875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05113629624247551, 224.0, 0.0, 0.0, 0, 0, 0, 0
11727, 0.0022236367221921682, 0.0004174821951892227, -3.989917240687646e-05, 0.0075659542344510555, 0.001394966384395957, -0.0003468682407401502, 126189.5703125, 156513.265625, 88390.28125, 114821.296875, 140930.796875, 99458.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05094795674085617, 228.0, 0.0, 0.0, 0, 0, 0, 0
11747, 0.002207391429692507, 0.0008687947993166745, -3.098989327554591e-05, 0.007509269285947084, 0.003524081315845251, -0.0004997411742806435, 126187.34375, 156517.109375, 88387.234375, 114821.984375, 140929.53125, 99456.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048440754413604736, 228.0, 0.0, 0.0, 0, 0, 0, 0
11767, 0.001956129912286997, 0.000292114244075492, -3.414895400055684e-05, 0.006414737086743116, 0.0011166079202666879, -0.00012091518874512985, 126190.875, 156513.265625, 88394.6171875, 114829.2421875, 140929.53125, 99463.390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05332227423787117, 228.0, 0.0, 0.0, 0, 0, 0, 0
11787, 0.002249406650662422, 0.0002593748504295945, -1.9439095922280103e-05, 0.0077065047807991505, 0.001682769157923758, 0.00027378564118407667, 126188.0, 156513.265625, 88394.1328125, 114827.0859375, 140928.25, 99456.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05473165586590767, 226.0, 0.0, 0.0, 0, 0, 0, 0
