timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
13501, 0.002541114343330264, 0.0027184567879885435, 0.009641761891543865, 0.004062116611748934, 0.0025738421827554703, -0.00022372882813215256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13521, 0.0024932546075433493, 0.0033179051242768764, 0.00963547732681036, 0.003581741126254201, 0.0053586033172905445, -0.0002942449355032295, 129181.1171875, 156392.203125, 90596.0390625, 118454.375, 141961.4375, 101216.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.020465176552534103, 224.0, 0.0, 0.0, 0, 0, 0, 0
13541, 0.002525062533095479, 0.0030337064526975155, 0.00898309051990509, 0.003659646725282073, 0.004183418117463589, -0.003568410873413086, 129178.8828125, 156390.28125, 90590.1953125, 118452.1953125, 141957.375, 101214.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.020998619496822357, 224.0, 0.0, 0.0, 0, 0, 0, 0
13562, 0.002492369618266821, 0.0029958756640553474, 0.008913237601518631, 0.00394589826464653, 0.0043632956221699715, -0.0036924893502146006, 129181.1171875, 156396.046875, 90596.0390625, 118450.6796875, 141959.15625, 101219.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023078901693224907, 223.0, 0.0, 0.0, 0, 0, 0, 0
13581, 0.0022036489099264145, 0.0029746387153863907, 0.008101267740130424, 0.002544631250202656, 0.0044370680116117, -0.008206117898225784, 129186.5703125, 156394.125, 90594.890625, 118454.375, 141951.03125, 101217.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023303911089897156, 223.0, 0.0, 0.0, 0, 0, 0, 0
13601, 0.002255460014566779, 0.003066633827984333, 0.007932856678962708, 0.0026500255335122347, 0.004768721293658018, -0.008540297858417034, 129184.9609375, 156394.125, 90599.9453125, 118455.8828125, 141965.5, 101218.2578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02442668192088604, 223.0, 0.0, 0.0, 0, 0, 0, 0
13621, 0.0022954780142754316, 0.0031586987897753716, 0.008629587478935719, 0.0029373932629823685, 0.005133884958922863, -0.003600324969738722, 129182.7265625, 156396.046875, 90601.09375, 118454.375, 141955.59375, 101220.3046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02314663492143154, 222.0, 0.0, 0.0, 0, 0, 0, 0
13641, 0.0023546989541500807, 0.0032670856453478336, 0.008555524051189423, 0.0029469167347997427, 0.00573226623237133, -0.003850180422887206, 129186.2265625, 156394.125, 90601.09375, 118448.5, 141955.09375, 101226.2578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02397061325609684, 222.0, 0.0, 0.0, 0, 0, 0, 0
13661, 0.0024148605298250914, 0.0033869449980556965, 0.008477511815726757, 0.002895279787480831, 0.006121760234236717, -0.003954350482672453, 129183.359375, 156397.96875, 90601.09375, 118459.578125, 141956.09375, 101223.65625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.024909453466534615, 222.0, 0.0, 0.0, 0, 0, 0, 0
13681, 0.0024747983552515507, 0.0035165632143616676, 0.008637363091111183, 0.0035167697351425886, 0.006795928347855806, -0.0028637985233217478, 129184.328125, 156396.046875, 90599.9453125, 118456.5546875, 141955.09375, 101221.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.025133276358246803, 224.0, 0.0, 0.0, 0, 0, 0, 0
13701, 0.002547331154346466, 0.00365808536298573, 0.00858050025999546, 0.0036189791280776262, 0.007319563999772072, -0.0028533360455185175, 129191.046875, 156396.046875, 90599.140625, 118456.5546875, 141960.9375, 101223.65625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.021539822220802307, 224.0, 0.0, 0.0, 0, 0, 0, 0
13722, 0.0026312528643757105, 0.0038100641686469316, 0.00829076487571001, 0.0042952606454491615, 0.00807284377515316, -0.004808203782886267, 129181.1171875, 156392.203125, 90601.09375, 118454.375, 141956.875, 101221.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.028903238475322723, 224.0, 0.0, 0.0, 0, 0, 0, 0
13741, 0.00254339212551713, 0.003584393998607993, 0.008202051743865013, 0.0040099723264575005, 0.0073759485967457294, -0.004956337157636881, 129187.203125, 156394.125, 90599.9453125, 118460.9140625, 141956.375, 101222.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02621334418654442, 225.0, 0.0, 0.0, 0, 0, 0, 0
13761, 0.0029487027786672115, 0.0036085734609514475, 0.00846137385815382, 0.005526007618755102, 0.007950571365654469, -0.0032742249313741922, 129184.9609375, 156396.046875, 90601.890625, 118454.375, 141952.328125, 101227.5546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026622390374541283, 225.0, 0.0, 0.0, 0, 0, 0, 0
13781, 0.0030613651033490896, 0.003775634802877903, 0.00839588325470686, 0.005826601292937994, 0.008854947052896023, -0.003233925439417362, 129187.203125, 156394.125, 90603.84375, 118458.0625, 141957.875, 101228.3046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.025931289419531822, 224.0, 0.0, 0.0, 0, 0, 0, 0
13801, 0.0031739322002977133, 0.003956758417189121, 0.008588507771492004, 0.006191940978169441, 0.009468902833759785, -0.0018298754002898932, 129183.984375, 156394.125, 90603.0390625, 118448.5, 141955.09375, 101230.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02761853113770485, 224.0, 0.0, 0.0, 0, 0, 0, 0
13822, 0.001992379315197468, 0.003981446381658316, 0.008549954742193222, 0.0007656680536456406, 0.009888486005365849, -0.0010190218454226851, 129189.4375, 156392.203125, 90604.9921875, 118459.578125, 141965.0, 101227.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027335312217473984, 224.0, 0.0, 0.0, 0, 0, 0, 0
13843, 0.002946005202829838, 0.003083159914240241, 0.00871699396520853, 0.00505158631131053, 0.006156562827527523, 2.7017165848519653e-05, 129187.828125, 156396.046875, 90605.7890625, 118456.5546875, 141959.15625, 101224.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027162089943885803, 223.0, 0.0, 0.0, 0, 0, 0, 0
13861, 0.0030503454618155956, 0.0032063147518783808, 0.008719684556126595, 0.005694095976650715, 0.0062540024518966675, 9.62308477028273e-05, 129181.1171875, 156394.125, 90606.9375, 118462.4296875, 141963.21875, 101221.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.025825204327702522, 223.0, 0.0, 0.0, 0, 0, 0, 0
13881, 0.0031685626599937677, 0.00333873531781137, 0.008720114827156067, 0.005969544406980276, 0.006416924297809601, 0.00017045758431777358, 129191.046875, 156397.96875, 90608.5390625, 118456.5546875, 141960.9375, 101218.2578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.024829626083374023, 223.0, 0.0, 0.0, 0, 0, 0, 0
13901, 0.003284418024122715, 0.00346944946795702, 0.008838583715260029, 0.006164169870316982, 0.006765899248421192, 0.0007668502512387931, 129195.5234375, 156396.046875, 90605.7890625, 118456.5546875, 141958.65625, 101224.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02453000657260418, 224.0, 0.0, 0.0, 0, 0, 0, 0
13922, 0.0034118695184588432, 0.0036123485770076513, 0.00884987786412239, 0.0068315076641738415, 0.00749753974378109, 0.0005465633585117757, 129196.1484375, 156397.96875, 90604.640625, 118460.2421875, 141960.9375, 101227.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02377137914299965, 224.0, 0.0, 0.0, 0, 0, 0, 0
13941, 0.0025720668490976095, 0.003338442649692297, 0.008920710533857346, 0.00373764056712389, 0.006811790633946657, 0.0008588390192016959, 129191.671875, 156397.96875, 90612.7890625, 118463.09375, 141955.09375, 101223.65625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02419222518801689, 224.0, 0.0, 0.0, 0, 0, 0, 0
13961, 0.002453807508572936, 0.003648612182587385, 0.00894092582166195, 0.0032831488642841578, 0.008309156633913517, 0.0012293488252907991, 129196.1484375, 156396.046875, 90614.7421875, 118460.2421875, 141952.328125, 101229.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02144421823322773, 223.0, 0.0, 0.0, 0, 0, 0, 0
13981, 0.00245232367888093, 0.0030999481678009033, 0.00858115404844284, 0.0037156441248953342, 0.006393701769411564, -0.001156182843260467, 129191.671875, 156397.96875, 90608.890625, 118461.5859375, 141954.109375, 101226.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.021132631227374077, 223.0, 0.0, 0.0, 0, 0, 0, 0
14001, 0.0024268070701509714, 0.004085137974470854, 0.008557191118597984, 0.0035873274318873882, 0.010160243138670921, -0.0009269669535569847, 129195.5234375, 156394.125, 90609.6875, 118462.4296875, 141961.9375, 101227.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02063729427754879, 223.0, 0.0, 0.0, 0, 0, 0, 0
14021, 0.002388672437518835, 0.0030427025631070137, 0.009117730893194675, 0.003586611244827509, 0.005971794482320547, 0.0021725096739828587, 129193.28125, 156397.96875, 90613.59375, 118466.9609375, 141967.765625, 101232.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01979701966047287, 222.0, 0.0, 0.0, 0, 0, 0, 0
14041, 0.0032081911340355873, 0.0033468918409198523, 0.009161506779491901, 0.0071633439511060715, 0.0071853450499475, 0.0023279741872102022, 129187.828125, 156396.046875, 90613.9375, 118464.609375, 141960.4375, 101231.1171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.017776435241103172, 222.0, 0.0, 0.0, 0, 0, 0, 0
