timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, accx, accy, accz, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
17440, 0.00945180095732212, 0.002081665676087141, 0.0187763050198555, 0.005434185266494751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.1993861198425293, 0.12820975482463837, -0.0003527323942232583
17460, 0.008744395337998867, 0.0018804538995027542, 0.01608024723827839, 0.00456224475055933, 128720.859375, 156451.734375, 92226.28125, 117641.265625, 141987.96875, 100292.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00725898751989007, 32766.0, 0, 0, 0, 0, 0, -2.1993205547332764, 0.12813016772270203, -0.0013177399527909486
17480, 0.008245199918746948, 0.001248484943062067, 0.014673394151031971, 0.002166314283385873, 128728.5390625, 156453.65625, 92233.359375, 117648.625, 141994.796875, 100294.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00959097035229206, 32766.0, 0.03772798553109169, 0.0009077272261492908, 0.999064028263092, 0.0, 0.0, -2.199373245239258, 0.1281973272562027, -0.0009817270992550108
17500, 0.008162561804056168, 0.001736800535582006, 0.014551516622304916, 0.003940310329198837, 128721.828125, 156453.65625, 92238.46875, 117639.09375, 142001.140625, 100298.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.008198130875825882, 32766.0, 0.03533460944890976, 0.0025141595397144556, 0.9973203539848328, 0.0, 0.0, -2.1993348598480225, 0.12819114327430725, -0.0009243024553660845
17520, 0.008467298932373524, 0.0018161324551329017, 0.016075486317276955, 0.004047862254083157, 128724.0625, 156455.578125, 92234.15625, 117644.9453125, 141998.859375, 100301.671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.006418455857783556, 32766.0, 0.03814259544014931, 0.000932081718929112, 0.999848484992981, 0.0, 0.0, -2.199383497238159, 0.12820151448249817, -0.0005615473870845432
17540, 0.008392700925469398, 0.0012736712815240026, 0.016472967341542244, 0.0021605966612696648, 128729.171875, 156453.65625, 92233.359375, 117643.4453125, 141996.578125, 100292.9609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.006142804864794016, 32766.0, 0.03936231508851051, 0.002566371113061905, 0.9999479651451111, 0.0, 0.0, -2.199357032775879, 0.12819865345954895, -0.0006618132609786384
17560, 0.008310017175972462, 0.0017833532765507698, 0.016147110611200333, 0.003977983258664608, 128727.90625, 156453.65625, 92238.09375, 117652.3046875, 141994.3125, 100299.09375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.004668980371206999, 32766.0, 0.03515096381306648, 0.0016313251107931137, 0.9989108443260193, 0.0, 0.0, -2.1993327140808105, 0.1281554251909256, -0.0007805131536868098
17580, 0.007899917662143707, 0.001678607426583767, 0.01452561840415001, 0.00336804729886353, 128717.9921875, 156453.65625, 92242.40625, 117649.296875, 141995.296875, 100298.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.006135437171906233, 32766.0, 0.0355156734585762, 0.00023243087343871593, 0.9998583793640137, 0.0, 0.0, -2.199368715286255, 0.1281982660293579, -0.0008114561339351122
17600, 0.007869057357311249, 0.0012369032483547926, 0.014443914406001568, 0.0018283927347511053, 128720.2265625, 156451.734375, 92235.703125, 117649.296875, 141985.6875, 100292.9609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.008527111262083054, 32766.0, 0.037335239350795746, 0.00359757780097425, 0.997236967086792, 0.0, 0.0, -2.1993072032928467, 0.1281803548336029, -0.0018202487865505153
17620, 0.00783543847501278, 0.0016828392399474978, 0.014671118929982185, 0.003895639441907406, 128720.2265625, 156455.578125, 92242.40625, 117647.796875, 141997.578125, 100294.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007897483184933662, 32766.0, 0.039413437247276306, 0.003929666709154844, 0.9985707998275757, 0.0, 0.0, -2.1993510723114014, 0.12823130190372467, -0.0009815962059252946
