timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, gpislabel, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
14533, 0.0012308000586926937, 0.0010242488933727145, 0.006179466377943754, 0.0016732977237552404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.5137181878089905, 0.19608670473098755, -0.049112547080937555
14553, 0.0005271743284538388, 0.0007867697859182954, 0.00230605760589242, 0.0004790762031916529, 131876.03125, 156317.40625, 92922.4453125, 124117.2421875, 143217.109375, 103442.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08227353543043137, 200.0, 0.0, 0.0, 0.0, -0.5137163400650024, 0.19612595438957214, -0.04947876028622289
14573, 0.0014617873821407557, 0.0019386131316423416, 0.007247015833854675, 0.0065595428459346294, 131867.640625, 156319.328125, 92921.6484375, 124126.390625, 143225.25, 103442.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0839906632900238, 190.0, 0.0, 0.0, 0.0, -0.5137298703193665, 0.1961069256067276, -0.049398426096278425
14593, 0.0005460215033963323, 0.0008006411953829229, 0.0021918541751801968, 0.0002816941123455763, 131869.890625, 156319.328125, 92927.578125, 124114.3984375, 143225.25, 103442.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08577657490968704, 190.0, 0.0, 0.0, 0.0, -0.5137056708335876, 0.1960885226726532, -0.04945536438369953
14613, 0.0008816634654067457, 0.00017455426859669387, 0.003898915369063616, -0.0028926683589816093, 131874.390625, 156323.15625, 92928.75, 124122.6015625, 143222.984375, 103443.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08604880422353745, 190.0, 0.0, 0.0, 0.0, -0.5137172341346741, 0.1961071491241455, -0.04954084264232492
14633, 0.0011471847537904978, 0.00015102422912605107, 0.005686233751475811, -0.0026321352925151587, 131872.140625, 156323.15625, 92927.1953125, 124123.546875, 143214.828125, 103442.8984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08554641157388687, 190.0, 0.0, 0.0, 0.0, -0.5137088894844055, 0.19604511559009552, -0.048557076748347874
14653, 0.0011320984922349453, 0.00016332951781805605, 0.005769021809101105, -0.002474580192938447, 131875.0, 156317.40625, 92925.21875, 124124.8125, 143219.390625, 103440.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08576786518096924, 190.0, 0.0, 0.0, 0.0, -0.5136765241622925, 0.1960756778717041, -0.048578781776814114
14673, 0.0004598460509441793, 0.0010672187199816108, 0.0019991998560726643, 0.002280411310493946, 131876.03125, 156321.25, 92927.578125, 124123.875, 143214.34375, 103435.5234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0863543376326561, 200.0, 0.0, 0.0, 0.0, -0.5137035846710205, 0.19597072899341583, -0.04932510530527434
14693, 0.0022325003519654274, 0.0008666608482599258, 0.01161160133779049, 0.0017400634242221713, 131878.890625, 156319.328125, 92927.1953125, 124112.1875, 143220.703125, 103446.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08879251778125763, 200.0, 0.0, 0.0, 0.0, -0.5136886239051819, 0.1960274875164032, -0.0492690481930312
14713, 0.0006894025718793273, 0.0006151413545012474, 0.0021754088811576366, 0.0009115095599554479, 131876.03125, 156319.328125, 92926.3984375, 124115.96875, 143218.90625, 103445.7109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08950790017843246, 200.0, 0.0, 0.0, 0.0, -0.5136862397193909, 0.19604888558387756, -0.04941007939866048
